review,sentiment
"I think Ba***ds of Bollywood is one of the best Bollywood shows I’ve watched this year. I say this NO exaggeration!!! It was so refreshing, satirical, full of Easter eggs and references, ironic humour and honestly felt like a big middle finger to everyone who keeps making fun of the Bollywood industry. It felt like an “in your face, bitches” statement by Aaryan Khan, and I LOVED it. IT IS TRUE ENTERTAINMENT!!!

Watching the show through the eyes of someone who actually grew up in the industry felt fresh and new. Honestly, I didn’t expect it to be as good as it genuinely turned out to be.

The performances were absolutely nailed by the cast. Lakshaye Lalwani, as always, was outstanding in his role as Aasmaan. His portrayal of an “outsider” actor finally getting his big break and then navigating the glamorous yet cutthroat, politically charged world of Bollywood was truly impressive. But the real highlight was the friendship between Aasmaan and Parvez (played by Raghav). Their bond felt so natural and effortless, with the kind of best friend chemistry that instantly draws you in. And Raghav’s comedic timing? Absolutely unbelievable!!!!
Sahher Bambba was amazing as Karishma Talwar, a nepo kid trying to find her way in the industry. The way her character balanced the privileges of a silver spoon with the struggles it brings was so well done. Bobby Deol, like the fine wine that he is, was a treat to watch, along with Anya Singh, Mona Singh, and Manoj Pahwa, all of whom played their characters with finesse.

Even the cameos were a delight. Big actors showing up for just a glimpse made it so much fun. It was especially nice to see Rajat Bedi (as Jaraj Saxena) back on screen after forever; I last remember him from Koi Mil Gaya and nowhere after that!

Despite the many characters and subplots, the pacing was tight and engaging. The show had hilarious moments, brainrot worthy bits, slick action sequences, and even car chases. The dialogues, songs, and background score were top notch too.

And that plot twist in the last episode, OH. MY. GOD. The twists were twisting in ways I didn’t see coming, and the ending was just such an unexpected yet brilliant way to close things off.

Overall, Ba****ds of Bollywood is a solid A. It’s fun, refreshing, well made, and absolutely worth your time. If you’ve always loved Bollywood, this one’s for you. Aaryan Khan truly SERVED US with this one!!!",1
"Absolutely loved this series. I enjoyed every bit of it from start to finish. The storyline was engaging, the characters were well-written, and the emotional depth really hit home.

Imran Hashmi’s entry was simply awesome. His presence brought a whole new energy to the show and he nailed every scene he was in. Raghav Juyal’s performance was another standout. I was honestly blown away by how good he was. His acting felt so real and intense, it added a lot of weight to the story.

I also want to appreciate all the actors who brought their characters to life so well. Each one added something unique to the story, making the series even more captivating.

The climax was something else. The twist about the main character falling in love with his stepsister was bold and unexpected. It was handled in a way that made you feel the emotional conflict without making it uncomfortable. It added a powerful layer to the whole narrative.

What I really appreciated was how the series gave a fresh take compared to typical Bollywood reality shows. It didn’t follow the usual predictable formulas and instead brought something unique and real, which made it stand out in a sea of similar content.

From my perspective, this series truly stands out because of its bold storytelling and strong performances. The way it mixes emotional depth with unexpected twists keeps the audience fully engaged. It’s refreshing to see a show that doesn’t shy away from complex themes and delivers them with sincerity. The chemistry between the actors and the well-crafted narrative really make it memorable.

Honestly, I’m already looking forward to the second series. This story has so much potential, and I can’t wait to see what happens next in part two. Hopefully, it comes out soon because I’m definitely ready for more!

Overall, this series was a complete package. Great performances, strong writing, and a storyline that keeps you thinking even after it ends. I’m really glad I watched it and would definitely recommend it to others.",1
"From Sri Lanka!
I absolutely loved the series. It was so entertaining! The first few epis were hilarious and genuinely funny. There are also clever hints that seem to point directly at certain people (you know who).

Regarding the cast, from the main characters to the supporting characters, everyone did a fantastic job. I especially enjoyed Raghav Juyal’s comic moments. He really showed how versatile he is as an actor. His pairing with Lakshya Lalwani was perfect, like two peas in a pod. Both of them were brilliant, and the same goes for the rest of the cast, from leads to supporting roles. Senior actors like Bobby Deol and Manoj Pahwa were brilliant too.

The biggest highlight for me was the cameos. They were awesome. None of them felt forced or unnecessary. I also felt the series leaned into dark comedy at times, which was refreshing. Plus, it revealed certain behind-the-scenes truths about the movie industry that audiences rarely get to see. I only wish they had carried that thread through till the end.

Story-wise, it’s not perfect, but it honestly exceeded my expectations. I didn’t expect something this good from Aryan and his team. As a newcomer, he really nailed how to make people laugh (which is funny, since he rarely shows it on his own face). The dialogues were another highlight; sharp, witty, and hilarious.

Overall, this series is a must-watch for me. I’m definitely going to rewatch it, because I love to laugh, and it’s rare for a Hindi show to make me laugh this much, without feeling forced or overdone.",1
"Man, I watched the entire Bads of Bollywood* and in one word — totally entertaining! A young director creating something like this is so impressive. I’m still laughing while writing this review. The way he handled some real issues of Bollywood in a comic way was just brilliant — like that drug raid 😂 officer scene, man! And in such a fun way, he also raised the point about how outsiders are treated in Bollywood. You can think of doing things your own way, but you can’t actually do it your way, because Bollywood looks glamorous from the outside but is too dark from the inside.

The cinematography was good, and of course, the colouring was done by Red Chillies Entertainment, so no doubt it was brilliant. The songs may not be all-time chartbuster type, but they were well used in the series. The screenplay was excellent 👌, and there’s an unexpected twist in the story that will leave you in shock and completely change the whole plot.

There are cameos of so many Bollywood stars — I don’t want to give spoilers, but trust me, one cameo will blow your mind! And the actors have all given their best. Every single one of them was outstanding. But if I have to give a shoutout to someone, it would be Raghav Juyal and Manoj Pahwa sir and Manish Chaudhary as Freddy.

Point to be noted — Karan Johar didn’t just make a cameo appearance; he is in the full series, and his role was very important! The lead actor Lakshya was outstanding, man. Sahher Bambba is the new crush of B-Town, and Anya Singh as the manager was just WOW! The way Bobby Deol sir was represented in this series will remind you of the young Bobby Deol, and Mona ma’am, as always, was the cherry on the cake.

So overall, it was a highly entertaining web series that showcased the dark side of Bollywood in a comic way.

My personal rating: ⭐⭐⭐⭐/5",1
"""The Bads of Bollywood""* is a spectacular and long-overdue satirical take on the Hindi film industry. Created and directed by Aryan Khan, this series is a fearless and hilarious look at the glitzy yet often absurd world of movies, with a razor-sharp script that consistently delivers on its promise of an inside-out exposé. It's a show that will not only entertain avid Bollywood fans but also offer a compelling and insightful peek for those unfamiliar with the industry's inner workings.
From the very first episode, the series establishes a tone that is both goofy and deeply self-aware. It masterfully uses humor to tackle serious subjects, including nepotism, star-power, and the constant media scrutiny that plagues the industry. The writing is the show's biggest strength, filled with clever Easter eggs, witty dialogues, and moments of self-deprecating humor that are a joy to witness. It's a tight and well-paced narrative that never loses its footing.
The casting is an absolute triumph. While the star-studded cameos are a delightful surprise and add to the show's meta-humor, it is the core cast that truly makes the series shine. The lead performances are nothing short of brilliant, bringing authenticity and heart to their characters. They are perfectly cast for their roles, and their chemistry is palpable, making their journey—from ambitious newcomers to navigating industry chaos—feel incredibly real and relatable.
Technically, the show is a visual treat. The cinematography is stunning, capturing the glamour of showbiz while also using a unique visual style to enhance the storytelling. The music is equally outstanding, adding layers to the scenes and serving as a crucial part of the narrative.
What sets ""The Ba***ds of Bollywood"" apart is its courage to mock itself and its world. It is a bold, confident, and unapologetically entertaining series that proves a well-written script, strong direction, and excellent performances can create a true masterpiece. It is, without a doubt, one of the best shows of the year and a must-watch on Netflix.",1
"Passey Reviews 🎥🍿

Aryan Khan has actually pulled off something really fun here. His directorial debut ‘The Ba**ds of Bollywood’ is comic, entertaining and way more gripping than I expected. Feels like it’s made for the younger crowd, but tbh anyone who loves Bollywood will vibe with it🫶🏼

The cast is fresh, the cameos are mad, and seeing Lakshya Lalwani & Raghav Juyal together again (after the bloody madness of ‘Kill’) was a treat. They steal the show. Some real dark issues of Bollywood are tackled, but done with humor and ease🔥

Mona Singh, Sahher Bambba & Anya Singh shine through. Rajat Bedi makes a cool comeback, while Bobby Deol, Manish Chaudhari & Manoj Pahwa prove why they’re veterans💯

The cinematography’s good, editing sharp & screenplay flows well. It’s a total no brainer watch. The trailer honestly didn’t do justice; the show’s funnier, tighter and actually makes you want to rewind a scene or two just to laugh again. BGM’s catchy, setting's good & Aryan definitely proves he can deliver way more than people thought🎥

Light, chill, funny, with enough twists to keep you hooked. Definitely worth binging😍",1
"Aryan Khan didn't expected this best, honestly the trailers were boring but The Ba****ds of Bollywood is a refreshing and entertaining every bold take about the industry that keeps you glued to the screen from start to finish. The storytelling is sharp, the humor strikes the right chord, and the performances are full of energy. Raghav Juyal - Emran Hashmi just loved it, the scene is most favourite KAHO NA KAHO hahaha laughing writing this.
What’s more impressive is how the series showcases the raw, unfiltered side of the industry while still being highly entertaining. With crisp direction, witty dialogues, and a unique vibe, Kahani me twist in the end just wow 😄 
The Bads of Bollywood is a must-watch for every movie lover.
Tumne OM SHANTI OM ki yaad dila di, all the stars were together.

Well I would give you one line complement is ""Your Father is a KING and definitely You are a PRINCE"" bas thodasa muskura liya karo like your father tumhare papa ki smile pe toh duniya fidaaaa hai 😊
well all the best buddy audience loved your work, may you have more brighter future 💖 Ameen",1
"Ba***ds Of Bollywood 
Aryan Khan's directorial debut shines bright with star studded appereances , life in bollywood showcased with such detail, glitz,glamour,action,comedy and the final twist...whatta wholesome journey worth watching. Only thing is that the family audience needs to watch it with caution. Aryan has put up a wonderful show that will keep you hooked and cooked up for a worthy binge watch. Raghan Juyal comedy was spot on , Shaheer Bamba & Lakshya deliver amazing performance and their chemistry is lovely ,  Anya Singh did a great job throughout , Manish Chaudhari as Sodawaalah was phenomenal , Manoj Pahwa added to the entertainment , Mona Singh was superb .Bobby Deol as the superstar was all in the frame with his screen presence and aura , and did really well.A special mention of the way Emraan Hashmi was presented it was just woow and next level amazing .There are soo many special apperances almost like the industry come together from King Khan SRK ,Salman , Aamir, S.S.Rajamouli , Karan Johar , Ibrahim Ali Khan , Sara Ali Khan , Rajkumar Rao , Arjun Kapoor , Orry,Baadshah and the list goes on and onn. All and all it was an entertaining series all about bollywood the glitz and glamour and a story of film star and his journey. Watch it for some entertainment and fun.",1
"Movie Review: *The Bds of Bollywood***
Rating: ⭐⭐⭐⭐☆ (4/5)

I hope there is no spoilers in this review 

The B**ds of Bollywood is a lively comedy-drama that captures the chaos, humor, and emotions of the film industry with wit and heart.

The cast shines brightly: Bobby Deol commands attention with his seasoned presence, Lakshya adds sincerity and freshness, and Mona as Lakshya’s mother delivers such warmth and depth that you will definitely remember her performance. Manoj Pahwa once again proves why he’s one of the finest character actors, bringing effortless comedy. And of course, Raghav Juyel is the true scene-stealer — his quirky style, natural humor, and charisma make him unforgettable.

Credit also goes to director Aryan Khan, who makes a fantastic debut. His direction is stylish, confident, and surprisingly mature for a first film, marking him as one of the most promising debutant directors in Bollywood.

The story keeps you entertained with its blend of laughs and emotions, and the climax is staged on such a grand scale that it will — at least once — remind you of Game of Thrones, though with a lighter, more playful touch.

Overall, The B**ds of Bollywood is a smart, entertaining 4/5 watch — powered by strong performances and Aryan Khan’s impressive directorial debut.",1
"The series °The Ba***ds of Bollywood° speaks truth in every breathing moment - yes, added with humour in places, one may not expect ~ Raghav genuinely has taken the show and his talent on a different level. What I loved the most is honesty ~ raw & brutal, and the multi-zillion inspirations taken from a longggggg list of industry realities. Creativity truly taken a different turn with this series. Every fiction stems from some contextual facts and this series is an ode to that. I love how so, so, so, so many little incidents, situations, experiences from an array of bollywood lives have been weaved so meticulously. I felt this series to be a perfect amalgamation of Madhur Bhandarkar & Farah Khan (') taste of direction and story writing. Fully Indian masala, truth embedded and sewed in entertainment.  One blank that I felt in the role played by Bobby Deol - it could have been portrayed in a different light solely because this gentleman is a superb actor and has proved his mettal and might in both Ashram & Animal - hence showcasing him as the bad man is something that has been already massively seen so that is one place which I feel could be something different; or, if one could portray them in a much evilier form which I am sure bollywood in reality has. This was like Bobby's upped game in villainous roles was much much milder here. If there ever comes a season 2 then definitely his role needs to shine atop as the most villainous else it would be a bad usage of his talent. 
Another flaw was the way both Asmaan & Karishma met at the end in the coffee shop - this scene seemed to be in a rush and there was no actual emotional angel to it, but definitely the last line by the actor, ""Rakhi pe milenge"" was funny but not hahah hillarious.
Loved how every *special appearance* actor in their 10 to 30 seconders were put in various places. I maybe wrong, but I felt a lot of emotional struggle stories were taken as is from Siddhant Chaturvedi, Shanaya Kapoor and Ananya Pandey's real life spaces. Except the last ~ episode 7, other episodes were normally portrayed which also showed a lot of underlinning simplicity under so so so so much glamour. Few thing, I still am curious about is
Q ""Why Ajay's son so against his whole familiar?"" 
Q ""Why did Gautami made the statement, 'there is a difference between being in love and being married'!""
That is a mystery; I mean one can assume a lot of reason, but it would be fun to see the 'whys' if there is a season 2. And at the end of all this ~ I super liked how even with so much glamour, big stars, et al; the humane emotions kept flowing in every scene, in between the dialogues, it felt real and genuinely very middle class; funnily even when they show the families in such huge mansions; retaining that at the end of the day, everyone is a normal person - even the actors. Certainly everyone, every single actor has done a brilliant job of showcasing their craft and talent of *ACTING* - this credit surely goes to the Director hands down. One of the raremost until now where the series outbid its promotions; specifically in today's world where promotions show a lot of promise and then the actual product is absolute blah. Congratulations and all the best to each and every person who gave their bit to this series. 
For me the rating is somewhere between 3 & 4 however I did not have the option of rating something in between.
Blessings and Healings 🙏",1
