"wA1Bge src","FmcO7b","vWB2ve","T7nuU 2","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjVwKumAbvBKhyq2ATrF1V3JKbk9OLzRoEkUrVkfpeOWFaSBCi6ZQg=s128-w32-d-h32-cc-rp","Basudev Das","a year ago","The film is all about an eight year old boy named Ishaan Awasti whose world is filled with wonders that no one else seems to appreciate  such as colors, stars,fish ,flowers and others animals belongs to nature are just not important in the world of adults in our society,who are much more interested in things like homework daily assignment are exam also Marks.  I have watched this film in several times .Whenever I watched this movie i cried from core of my heart. Ishaan ,a kind of student who suffers from a disease called dyslexia .Due to dyslexia ishaan cannot seem to get anything right at this school as well as later on boarding school.So as results of this disease ishaan cannot perform well in academics.Whereas his elder brother is excellent in academics.When he gets into more problems then his parents can handle ,he is packed off to a new boarding school to become disciplined. Soon a new art teacher, Ram Shankar Nikumph ,helps ishaan to discover his hidden talents .And after some time his patience, affection are care recovered ishaan from the disease. He ultimately  helps  ishaan to become completely fine .And finally ishaan belongs to a  completely new life just like another eight to nine year's child.

Another master piece from Amir Khan I've watched this movie 9999+ times may be but still each time I watch this movie it makes me feel emotional.

Every child is special.

This movie Taare Zameen Par is a great message don't miss this movie....","You and 98 other people found this helpful.","98 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjXLhVQhju_xSQM1Y_uZ2GzAylEDlcWEYnCDcneT2JNytLh31Dhb=s128-w32-d-h32-cc-rp","SHAIK MAHAMMAD ASIF","a year ago","The film is all about an eight year old boy named Ishaan Awasti whose world is filled with wonders that no one else seems to appreciate  such as colors, stars,fish ,flowers and others animals belongs to nature are just not important in the world of adults in our society,who are much more interested in things like homework daily assignment are exam also Marks.  I have watched this film in several times .Whenever I watched this movie i cried from core of my heart. Ishaan ,a kind of student who suffers from a disease called dyslexia .Due to dyslexia ishaan cannot seem to get anything right at this school as well as later on boarding school.So as results of this disease ishaan cannot perform well in academics.Whereas his elder brother is excellent in academics.When he gets into more problems then his parents can handle ,he is packed off to a new boarding school to become disciplined. Soon a new art teacher, Ram Shankar Nikumph ,helps ishaan to discover his hidden talents .And after some time his patience, affection are care recovered ishaan from the disease. He ultimately  helps  ishaan to become completely fine .And finally ishaan belongs to a  completely new life just like another eight to nine year's child.

Another master piece from Amir Khan I've watched this movie 4 times still kabhi tv mey aayega tho dekhne ka maan kartha hai.
Every child is special.

This movie taare zameen par is a great message don't miss this movie

I'll give 5/5 stars ⭐⭐⭐⭐⭐
.","You and 65 other people found this helpful.","65 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWFemmUpYHpkMcpyG9DTaPcWBQjtbC0ZZljcq6ha5KZEYM0D6bp=s128-w32-d-h32-cc-rp","Shubham Singh","5 years ago","Every child is special. Really touched my bottom of heart . I have watched this movie several times.
Nikumbh finally discovered Dyslexia in a slowmover different academically poor student of 8-9 yrs. Now a days even the time already has come to us for doing the right way .That's responsibily of each parent student teacher is must. Tzp 4 all age groups. Nice msg 2 our social life .
Punishment  is very bad for students inner mind . Parents rebuke rude behaviour  makes  child very upset  worst physically  and mental growth.  Love ur child is the best medicine  for ur children's  all progress This movie tought us  how to behave with well manner  with ur child.
in my whole life""   Nikumbh sir identified a painter within Ishaan;that's called a Real Teacher,who has no limit to educate . TZP is 1st film  ,I watched on a plot related festive occasions  (on Teachers day ) .
 When I watched it in 2k17  I enchanted  subjugated. Thank you the entire  team of Tzp .  Till date  more than  70 times   watched ..found very heart touching  sensitive reality .
So meanwhile  it's our families  all tym fvt . Song maa and title  song so warmth soft mind blowing ..Especially  title song whenever  usually  i would  watch   l loss myself and tears flows deeply.   Tzp is not only a movie but very powerful  lesson oriented picture  for all time all age groupers , Whoever will watch or already has watched definitely  must a good people. Directorial  debut of Aamirkhan. Wonderful creation  of Aamirkhan Sir as a parents  (producer  director)   of this child ( Tzp movie) . Every child teacher guardian people  should watch  this  outstanding  movie. Trust  on my opinion   Taare zameen par is a beautiful  movie non comparable.           
Aamir khan's acting is very perfect with minute observations  herein , this outstanding movie is  true certificate. He managed very well  to bring the living touch to the character named RAM SHANKAR NIKUMBH  Art teacher psychologist  motivator. That's why he wanted to be replaced in exchange of Painter Amol Gupte .His strong faith believe dedication   for this factor as a debutant director, well managed and won the heart of all.
Thank You !
Shubham Singh","You and 344 other people found this helpful.","344 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjXcgy-mSsXdLTvCTxnyeHoBVsdOQarIU-eNDG9vI9YaHUZXMoL9=s128-w32-d-h32-cc-rp","Syed Abul Hasnat","10 months ago","Taare Zameen Par is a beautifully crafted and emotionally resonant film directed by Aamir Khan that explores the world of a child struggling with dyslexia. The story follows Ishaan Awasthi, an 8-year-old boy (played brilliantly by Darsheel Safary), whose unique perspective and struggles with traditional schooling lead him to feel misunderstood and isolated. When an empathetic art teacher, Ram Shankar Nikumbh (Aamir Khan), enters his life, he helps Ishaan and his family understand the challenges of dyslexia, showing that every child learns differently.

Darsheel Safary's performance as Ishaan is nothing short of extraordinary. He portrays the child’s frustration, wonder, and sensitivity with such depth that it’s impossible not to empathize with him. Aamir Khan delivers a subtle yet powerful performance as the teacher who encourages Ishaan to embrace his unique abilities rather than conform to the system.

The film’s narrative is heartfelt, delivering a message that promotes awareness and understanding of learning disabilities while celebrating each child’s individuality. With touching songs like ""Maa"" and ""Taare Zameen Par,"" the soundtrack by Shankar-Ehsaan-Loy adds emotional depth, perfectly capturing the film’s themes.

Overall, Taare Zameen Par is a must-watch, not only for parents and educators but for anyone who believes in the importance of empathy and acceptance. It is a heartwarming, inspirational film that sheds light on the impact of compassionate teaching, making it an unforgettable cinematic experience.","You and 8 other people found this helpful.","8 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVBqBAyZm43WN-GtLRz73uDnNyc5X8emcEn7b6Zo5KVJXlrE6ng=s128-w32-d-h32-cc-rp","Nimesh sarkar","10 months ago","The film is all about an eight year old boy named Ishaan Awasti whose world is filled with wonders that no one else seems to appreciate  such as colors, stars,fish ,flowers and others animals belongs to nature are just not important in the world of adults in our society,who are much more interested in things like homework daily assignment are exam also Marks.  I have watched this film in several times .Whenever I watched this movie i cried from core of my heart. Ishaan ,a kind of student who suffers from a disease called dyslexia .Due to dyslexia ishaan cannot seem to get anything right at this school as well as later on boarding school.So as results of this disease ishaan cannot perform well in academics.Whereas his elder brother is excellent in academics.When he gets into more problems then his parents can handle ,he is packed off to a new boarding school to become disciplined. Soon a new art teacher, Ram Shankar Nikumph ,helps ishaan to discover his hidden talents .And after some time his patience, affection are care recovered ishaan from the disease. He ultimately  helps  ishaan to become completely fine .And finally ishaan belongs to a  completely new life just like another eight to nine year's child.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocJ7iyl6_9c3QBV5a2MzNMATwY9OUqF4XRWHWvnmmqx5F_kWHg=s128-w32-d-h32-cc-rp","susmita ghosh","5 years ago","The film is all about an eight year old boy named Ishaan Awasti whose world is filled with wonders that no one else seems to appreciate  such as colors, stars,fish ,flowers and others animals belongs to nature are just not important in the world of adults in our society,who are much more interested in things like homework daily assignment are exam also Marks.  I have watched this film in several times .Whenever I watched this movie i cried from core of my heart. Ishaan ,a kind of student who suffers from a disease called dyslexia .Due to dyslexia ishaan cannot seem to get anything right at this school as well as later on boarding school.So as results of this disease ishaan cannot perform well in academics.Whereas his elder brother is excellent in academics.When he gets into more problems then his parents can handle ,he is packed off to a new boarding school to become disciplined. Soon a new art teacher, Ram Shankar Nikumph ,helps ishaan to discover his hidden talents .And after some time his patience, affection are care recovered ishaan from the disease. He ultimately  helps  ishaan to become completely fine .And finally ishaan belongs to a  completely new life just like another eight to nine year's child.","You and 111 other people found this helpful.","111 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocIy-IuzPIDHdzVpJ7kNYluZLwAm53zyYo6_FVlo4ojc4HQL8Nk=s128-w32-d-h32-cc-rp","Prity Mondal","a month ago","Taare Zameen Par is a heart-touching drama that tells the story of Ishaan, an 8-year-old boy who struggles in school because of dyslexia—a learning difficulty that makes reading and writing hard for him. While everyone, including his parents, thinks he’s lazy or careless, Ishaan is actually very talented in art and has a vivid imagination.

The turning point comes when a new art teacher, Ram Shankar Nikumbh, enters his life. He understands Ishaan’s struggles, encourages his creativity, and helps him gain confidence.

Aamir Khan, who also directed the film, delivers a warm and thoughtful performance as the teacher, while Darsheel Safary, as Ishaan, is simply brilliant. The music is beautiful and emotional, with songs like ""Maa"" and ""Taare Zameen Par"" perfectly capturing the mood.

This movie is more than just entertainment—it’s a message about empathy, patience, and understanding the unique talents of every child. It will make you smile, cry, and look at the world through a child’s eyes.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocJfqp7pSPtwwQYJHhrcr9ZoIW0No5Yjs3EwITUuWXhFMFTUvb8=s128-w32-d-h32-cc-rp","Bhaskar Sadhukhan","5 years ago","a year ago
Every child is special. Really touched my bottom of heart . I ' ve played both the character Ishan & Nikumbh in my real life as well.That's why I clearly could understand the plot sequence of Tzp.
Nikumbh finally discovered Dyslexia in a slowmover different academically poor student of 8/ 9 yrs. Now a days even the time already has come 2 us for doing the right way .That's responsibily of each parent student teacher is must. Tzp 4 all age groups. Nice msg 2 our social life .
Punishment  is very bad for students inner mind . Parents rebuke rude behaviour  makes  child very upset  worst physically  and mental growth.  Love ur child is the best medicine  4 ur children's  all progress This movie tought us  how 2 behave with well manner  with ur child.
It is very  sad  we ve no Nikumv with us in our childhood days or school life.  Kaash aisa ho paata. I was an abnormal  child  means silent shy less talker  ,but well with language literature  . Parents couldn't   observe  me like my teachers .All made me as a fun subject  ; they treated  me badly  rough word .my mind hurted deeply .After watching movies of Aamirsaab  I could deposite courage 2 face society  and ofcourse  I succeeded  at my efforts.  FURTHER I BECAME A TUTOR AND MADE LIFE OF  3 CHILDREN'S. And made myself as a writer poet,  social  activist,  Astrologist  palmist  psychologist   slow and  steady. Something  satisfaction  turned aside into  my life   .3 teachers told me ( 11 age) seriously due to my soft nature "" I can't get  never any profession/ identification  in my whole life""   Nikumbh sir identified a painter within Ishaan;that's called a Real Teacher,who has no limit to educate . TZP is 1st film  ,I watched on a plot related festive occasions  (on Teachers day ) .
 When I watched it in 2k7  I enchanted  subjugated  ..I could  see clearly  myself in Ishaan ( Darsheel saffary ) ..Thank u the entire  team of Tzp .  Till date  more than  20 times   watched ..found very heart touching  sensitive reality .","You and 24 other people found this helpful.","24 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVYhU08w6I-_5_zbm-_B1uD0Zo_Wlkei1DjGjCz5rjXMdXVMNPG=s128-w32-d-h32-cc-rp","Abhilash `Nox` Baruah","6 years ago","An inspirational story that is as emotive as it is entertaining.
 What uplifts this film is the way it moves you deeply with its sterling performances. 
All in all, it is a magical film about the magnificent abilities children have, even when all the odds are against them. Luckily, most of the Bollywood clichés actually enhance the film experience. Being such an integral part of the story, the soundtrack and score complement the film wonderfully. Each song aligning nicely with the film's dramatic but hopeful tone. 

""There have been such gems amongst us, who changed the course of the world because they could look at the world differently. Their thinking was unique and not everyone understood them. They were opposed, yet they emerged winners and the world was amazed.""

 Aamir Khan has captured these emotions perfectly near the end of  Taare Zameen Par (a.k.a Like Stars on Earth). I don't think I'll ever get the image of Ishaan's father breaking down into tears out of my head. There's some really powerful stuff here.
This brilliant movie, in my books, is nothing short of being 
One of the most Powerful movies you will ever come across.","You and 155 other people found this helpful.","155 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWn64l6T6CQjyle1QjCy-tUmPpffALkYb8Eoq7pg2Vw68MRQcE=s128-w32-d-h32-cc-rp","SOURAV MANNA","5 years ago","The film is about an eight-year-old child Ishaan Awasti. Ishaan performs very badly in academics due to dyslexia
and fails in the third standard in school. On the other hand, his elder brother is brilliant in academics.

Taare Zameen Par is a wonderful movie that appeals to people from every section of the society. One of the main reasons behind this is that the person watching the movie can relate the incidents happening in the movie with his real life. 

The director, Aamir Khan, plays the role of Ishaan's art teacher. The way he brings about a transformation in Ishaan is truly heart-touching. On the first day, the teacher introduces unconventional teaching methods to which all the students respond with great enthusiasm, except Ishaan.His acting is very perfect with minute observations herein , this outstanding movie is true certificate. He managed very well to bring the living touch to the character named RAM SHANKAR NIKUMBH Art teacher psychologist motivator. That's why he wanted to be replaced in exchange of Painter Amol Gupte .His strong faith believe dedication for this factor as a debutant director, well managed and won the heart of all.

Darsheel Safary plays the role of the central character of Ishaan Awasti. He has realized the character of Ishaan very 
well. The film was a great commercial success. The story is simple and connects immediately with every child and adult in the auditorium and has a profound emotional impact on the audience. However, it is hard to believe that the child was performing so badly in academics and still his parents failed to discover the actual reason behind it. 
Also, towards the climax, the movie seems to be in a hurry to wrap up.

The cinematography is excellent. All emotions have been captured by the camera very well. The music by Shankar-
Ehsaan-Loy is also very soothing.The story clearly brings out all the thoughts going on in the mind of a kid, his 
interests, his strengths and weaknesses. The movie not only entertains us but also enlightens us to the plight of dyslexic people. It is a must-watch for parents, teachers, students alike. 
Thank you!
Sourav Manna.","You and 8 other people found this helpful.","8 people found this helpful."
